"filename","type","name","set","price","back_filename"
"singles_0013.jpg","singles","Escape Rope #163 - Near Mint","Burning Shadows","15","singles_0014.jpg"
"singles_0015.jpg","singles","Goldeen #20 - Masterball Foil - Near Mint","Prismatic Evolutions","5","singles_0016.jpg"
"singles_0019.jpg","singles","Dark Tyranitar #20 - Unlimited Normal - Lightly Played","Team Rocket Returns","15","singles_0020.jpg"
"singles_0021.jpg","singles","Dark Houndoom #37 - Unlimited Normal - Moderately Played","Team Rocket Returns","10","singles_0022.jpg"
"singles_0025.jpg","singles","Dark Magcargo #38 - Unlimited Normal - Lightly Played","Team Rocket Returns","3","singles_0026.jpg"
"singles_0027.jpg","singles","Dark Magneton #39 - Unlimited Normal - Lightly Played","Team Rocket Returns","2","singles_0028.jpg"
"singles_0029.jpg","singles","Dark Flaaffy #33 - Unlimited Normal - Near Mint","Team Rocket Returns","8","singles_0030.jpg"
"singles_0035.jpg","singles","Lightning Energy #109 - Reverse Holo - Near Mint","Ruby & Sapphire","8","singles_0036.jpg"
"singles_0037.jpg","singles","Lightning Energy #106 - Holofoil - Lightly Played","Power Keepers","6","singles_0038.jpg"
"singles_0039.jpg","singles","Water Energy #107 - Holofoil - Moderately Played","Holon Phantoms","5","singles_0040.jpg"
"singles_0041.jpg","singles","Water Energy #107 - Holofoil - Moderately Played","Holon Phantoms","5","singles_0042.jpg"
"singles_0043.jpg","singles","Water Energy #107 - Holofoil - Lightly Played","Holon Phantoms","7","singles_0044.jpg"
"singles_0045.jpg","singles","Fire Energy #104 - Holofoil - Lightly Played","Power Keepers","7","singles_0046.jpg"
"singles_0049.jpg","singles","Empoleon V #145 - Near Mint","Battle Styles","6","singles_0050.jpg"
"singles_0053.jpg","singles","Charizard #13 - Reverse Holo - Near Mint","Tag Bolt","12","singles_0054.jpg"
"singles_0055.jpg","singles","Eevee #100/S-P - Near Mint","Start Battle","8","singles_0056.jpg"
"singles_0057.jpg","singles","Eevee #100/S-P - Near Mint","Start Battle","8","singles_0058.jpg"
"singles_0059.jpg","singles","Poliwrath #62 - Lightly Played","Topps Chrome","10","singles_0060.jpg"
"singles_0063.jpg","singles","Venonat #48 - Lightly Played","Topps Chrome","10","singles_0064.jpg"
"singles_0069.jpg","singles","Dugtrio #51 - Lightly Played","Topps","5","singles_0070.jpg"
"singles_0071.jpg","singles","Ekans #23 - Near Mint","Topps","5","singles_0072.jpg"
"singles_0073.jpg","singles","Rapidash #078 - Near Mint","Bandai","7","singles_0074.jpg"
"singles_0075.jpg","singles","Kadabra #064 - Near Mint","Bandai","10","singles_0076.jpg"
"singles_0079.jpg","singles","Tornadus EX #230/BW-P - Near Mint","Battle Boost","25","singles_0080.jpg"
"singles_0083.jpg","singles","Terrakion #030 - Reverse Holofoil - Near Mint","Waku Waku Battle","15","singles_0084.jpg"
"singles_0085.jpg","singles","Electabuzz #095 - Reverse Holofoil - Lightly Played","Galactic Conquest","15","singles_0086.jpg"
"singles_0087.jpg","singles","Luxio #103/BW-P - Near Mint","Psycho Drive Hail Blizzard","8","singles_0088.jpg"
"singles_0089.jpg","singles","Dedenne #013/XY-P - Near Mint","XY Promos","10","singles_0090.jpg"
"singles_0091.jpg","singles","Lilligant #062/BW-P - Near Mint","Kids Special Toy","5","singles_0092.jpg"
"singles_0099.jpg","singles","Aroma Lady #081/063 - Rainbow - Near Mint","Eevee Heroes","5","singles_0100.jpg"
"singles_0101.jpg","singles","Charizard #013 - Reverse Holofoil - Near Mint","Tag Bolt","12","singles_0102.jpg"
"singles_0105.jpg","singles","Professor Birch #89 - Reverse Holo - Near Mint","Ruby & Sapphire","4","singles_0106.jpg"
"singles_0107.jpg","singles","Energy Restore #81 - Reverse Holo - Near Mint","Ruby & Sapphire","3","singles_0108.jpg"
"singles_0113.jpg","singles","Bianca's Devotion #197 - Near Mint","Temporal Forces","4","singles_0114.jpg"
"singles_0115.jpg","singles","Janine's Secret Art #88 - Near Mint","Shrouded Fable","3","singles_0116.jpg"
"singles_0117.jpg","singles","Arven's Mabostiff ex #081/063 - Near Mint","Heatwave Arena","3","singles_0118.jpg"
"singles_0119.jpg","singles","Keldeo ex #161/086 - Near Mint","White Flare","3","singles_0120.jpg"
"singles_0121.jpg","singles","Thundurus #244/190 - Near Mint","Shiny Treasure","2","singles_0122.jpg"
"singles_0125.jpg","singles","Electrike #073/063 - Near Mint","Heatwave Arena","2","singles_0126.jpg"
"singles_0129.jpg","singles","Simisear #099/086 - Near Mint","Black Bolt","10","singles_0130.jpg"
"singles_0133.jpg","singles","Joltik #108/102 - Near Mint","Stellar Miracle","4","singles_0134.jpg"
"singles_0135.jpg","singles","Raboot #106/102 - Near Mint","Stellar Miracle","3","singles_0136.jpg"
"singles_0139.jpg","singles","Houndstone 073/063 - Near Mint","Mega Symphonia","3","singles_0140.jpg"
"singles_0141.jpg","singles","Archaludon #113/102 - Near Mint","Stellar Miracle","3","singles_0142.jpg"
"singles_0143.jpg","singles","Garganacl #070/063 - Near Mint","Mega Brave","2","singles_0144.jpg"
"singles_0145.jpg","singles","Orthworm #081/071 - Near Mint","Snow Hazard","3","singles_0146.jpg"
"singles_0147.jpg","singles","Spearow #074/063 - Near Mint","Mega Brave","3","singles_0148.jpg"
"singles_0151.jpg","singles","Floragato #076/073 - Near Mint","Triple Beat","7","singles_0152.jpg"
"singles_0153.jpg","singles","Floragato #076/073 - Near Mint","Triple Beat","7","singles_0154.jpg"
"singles_0171.jpg","singles","Juggler #126 - Unlimited Normal - Near Mint","Aquapolis","2","singles_0172.jpg"
"singles_0177.jpg","singles","Kingler δ #22 - Unlimited Normal - Moderately Played","Crystal Guardians","2","singles_0178.jpg"
"singles_0181.jpg","singles","Pidgeotto δ #49 - Unlimited Normal - Moderately Played","Holon Phantoms","2","singles_0182.jpg"
"singles_0185.jpg","singles","Mareep #58 - Unlimited - Damaged","Neo Discovery","1","singles_0186.jpg"
"singles_0191.jpg","singles","Zekrom #51 - Unlimited Holofoil - Heavily Played","Legendary Treasures","2","singles_0192.jpg"
