source_row,sku,type,category,condition_id,raw_condition_descriptor,grader_descriptor,grade_descriptor,shipping_policy,title,price,image_urls,warnings
62,CHELLA-GRADED-IMG518,graded,183050,2750,,275010,275022,Shipping-Normal,Taipei's Pikachu #057/SV-P Pokemon Center Taipei PSA 9 Pokemon Card,109.99,https://chellacollectibles.com/images/img518.jpg,
63,CHELLA-GRADED-IMG519,graded,183050,2750,,275010,275022,Shipping-Normal,Taipei's Pikachu #057/SV-P Pokemon Center Taipei PSA 9 Pokemon Card,109.99,https://chellacollectibles.com/images/img519.jpg,
64,CHELLA-GRADED-IMG437,graded,183050,2750,,275010,275020,Shipping-Normal,Pokemon Fan Club #071/066 Ultra Sun PSA 10 Pokemon Card,149.99,https://chellacollectibles.com/images/img437.jpg,
65,CHELLA-GRADED-IMG470,graded,183050,2750,,2750115,275020,Shipping-Normal,Moltres & Zapdos & Articuno GX #SM210 SM Promos TAG 10 Pokemon Card,424.99,https://chellacollectibles.com/images/img470.jpg,
66,CHELLA-GRADED-IMG471,graded,183050,2750,,2750115,275020,Shipping-Normal,Umbreon Gold Star #17/17 Celebrations 25 TAG 10 Pokemon Card,349.99,https://chellacollectibles.com/images/img471.jpg,
67,CHELLA-GRADED-IMG472,graded,183050,2750,,2750115,275020,Shipping-Normal,Meowth #192/SV-P Gen Start Deck TAG 10 Pokemon Card,169.99,https://chellacollectibles.com/images/img472.jpg,
68,CHELLA-GRADED-IMG473,graded,183050,2750,,2750115,275022,Shipping-Normal,Glaceon GX #SV55/SV94 Hidden Fates TAG 9 Pokemon Card,39.99,https://chellacollectibles.com/images/img473.jpg,
69,CHELLA-GRADED-IMG438,graded,183050,2750,,275010,275020,Shipping-Normal,Archaludon #155/142 Stellar Crown PSA 10 Pokemon Card,39.99,https://chellacollectibles.com/images/img438.jpg,
70,CHELLA-GRADED-IMG440,graded,183050,2750,,275010,275022,Shipping-Normal,Dark Vileplume #13/82 1st Edition Team Rocket PSA 9 Pokemon Card,179.99,https://chellacollectibles.com/images/img440.jpg,
71,CHELLA-GRADED-IMG444,graded,183050,2750,,275010,275028,Shipping-Normal,M Rayquaza EX #76/108 Roaring Skies PSA 6 Pokemon Card,99.99,https://chellacollectibles.com/images/img444.jpg,
72,CHELLA-GRADED-IMG441,graded,183050,2750,,275010,275022,Shipping-Normal,M Rayquaza EX #76/108 Celebrations 25 PSA 9 Pokemon Card,54.99,https://chellacollectibles.com/images/img441.jpg,
73,CHELLA-GRADED-IMG442,graded,183050,2750,,275010,275022,Shipping-Normal,M Rayquaza EX #61/108 Roaring Skies PSA 9 Pokemon Card,299.99,https://chellacollectibles.com/images/img442.jpg,
74,CHELLA-GRADED-IMG443,graded,183050,2750,,275010,275024,Shipping-Normal,Misty's Tentacruel #10/132 1st Edition Gym Heroes PSA 8 Pokemon Card,129.99,https://chellacollectibles.com/images/img443.jpg,
75,CHELLA-GRADED-IMG445,graded,183050,2750,,275010,275022,Shipping-Normal,Computer Error #16 WoTC Promos PSA 9 Pokemon Card,29.99,https://chellacollectibles.com/images/img445.jpg,
76,CHELLA-GRADED-IMG446,graded,183050,2750,,275010,275020,Shipping-Normal,Marnie #198/190 Shiny Star V PSA 10 Pokemon Card,149.99,https://chellacollectibles.com/images/img446.jpg,
77,CHELLA-GRADED-IMG447,graded,183050,2750,,275010,275020,Shipping-Normal,Penny #239/091 Paldean Fates PSA 10 Pokemon Card,119.99,https://chellacollectibles.com/images/img447.jpg,
78,CHELLA-GRADED-IMG448,graded,183050,2750,,275010,275022,Shipping-Normal,Roxanne #081/067 Battle Region PSA 9 Pokemon Card,44.99,https://chellacollectibles.com/images/img448.jpg,
